post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,engagement_rate,followers_gained,caption_length,hashtags_count,performance_bucket_label
IG0000086,3,brand,10018,image,Beauty,Home Feed,0,21-06-2025,12,Saturday,549,16,34,76,17769,22997,2.94,615,147,3,medium
IG0000087,3,creator,10018,image,Food,External,0,09-07-2025,10,Wednesday,154,6,9,20,4757,7514,2.52,858,120,9,low
IG0000088,1,brand,9461,image,Fashion,Reels Feed,0,11-08-2025,4,Monday,236,6,9,35,7666,9462,3.02,265,138,10,medium
IG0000089,5,creator,10739,image,Beauty,Explore,0,12-04-2025,17,Saturday,77,1,6,13,2424,3116,3.11,550,112,3,medium
IG0000090,10,creator,4542,reel,Food,Profile,0,06-03-2025,17,Thursday,102,0,5,15,3248,4339,2.81,104,122,7,medium
IG0000091,7,creator,3551,carousel,Food,Reels Feed,0,02-06-2025,1,Monday,859,28,33,132,18959,27322,3.85,852,118,12,medium
IG0000092,9,creator,6916,carousel,Fashion,Profile,0,16-06-2025,21,Monday,266,8,12,42,3456,4195,7.82,749,117,9,viral
IG0000093,7,creator,3551,reel,Music,External,1,03-08-2025,14,Sunday,198,6,7,17,10770,14676,1.55,481,129,9,low
IG0000094,9,brand,6916,image,Photography,External,1,30-08-2025,4,Saturday,126,4,8,16,1644,2454,6.28,859,120,9,viral
IG0000095,8,brand,15986,image,Technology,Profile,0,10-09-2025,19,Wednesday,103,4,5,12,1815,2446,5.07,576,133,9,high
IG0000096,12,creator,13798,carousel,Photography,Home Feed,0,01-02-2025,3,Saturday,96,3,6,15,4596,6557,1.83,682,109,10,low
IG0000097,2,creator,22291,carousel,Comedy,External,1,21-11-2024,7,Thursday,194,0,4,22,2666,3894,5.65,534,118,5,viral
IG0000098,1,creator,9461,reel,Technology,Hashtags,0,18-12-2024,17,Wednesday,49,0,2,11,2529,3779,1.64,914,106,8,low
IG0000099,16,brand,9696,image,Comedy,Hashtags,1,31-01-2025,20,Friday,86,1,5,13,5064,7357,1.43,340,111,13,low
IG0000100,5,creator,10739,carousel,Beauty,External,0,21-11-2024,22,Thursday,57,0,3,6,2926,4511,1.46,335,96,10,low
IG0000101,3,creator,10018,carousel,Travel,Home Feed,1,18-02-2025,14,Tuesday,58,1,1,10,4662,6162,1.14,31,100,7,low
IG0000102,12,brand,13798,image,Fashion,Home Feed,0,16-06-2025,11,Monday,760,18,48,128,14564,21812,4.37,445,93,2,high
IG0000103,8,creator,15986,image,Technology,Explore,0,19-12-2024,6,Thursday,270,0,9,37,3989,6237,5.07,105,106,12,viral
IG0000104,3,creator,10018,image,Technology,Profile,0,16-11-2025,15,Sunday,161,4,5,34,6335,8249,2.47,905,106,8,medium
IG0000105,1,creator,9461,reel,Beauty,Reels Feed,0,26-01-2025,7,Sunday,78,1,4,0,1232,1958,4.24,934,124,8,high
IG0000106,3,creator,10018,image,Music,Profile,0,11-03-2025,13,Tuesday,266,10,10,0,5472,8490,3.37,205,112,7,medium
IG0000107,5,creator,10739,carousel,Food,External,0,29-06-2025,18,Sunday,388,14,21,61,26032,40087,1.21,975,109,2,low
IG0000108,15,creator,8167,image,Beauty,Hashtags,0,02-06-2025,17,Monday,38,2,1,5,3266,4989,0.92,442,128,9,low
IG0000109,14,creator,3083,image,Lifestyle,Home Feed,0,26-06-2025,7,Thursday,714,23,24,95,12067,13440,6.37,170,123,6,viral
IG0000110,3,creator,10018,reel,Food,Home Feed,0,28-03-2025,15,Friday,182,5,9,21,3552,5553,3.91,842,122,7,medium
IG0000111,1,creator,9461,image,Fashion,External,1,07-04-2025,8,Monday,111,3,6,15,2110,2690,5.02,724,130,9,high
IG0000112,5,creator,10739,image,Food,Hashtags,1,15-08-2025,0,Friday,0,3,1,17,1957,3043,0.69,109,111,9,high
IG0000113,14,creator,3083,image,Music,Explore,0,30-04-2025,7,Wednesday,409,15,27,75,10574,14101,3.73,41,119,7,medium
IG0000114,7,brand,3551,image,Food,Explore,0,05-03-2025,6,Wednesday,666,11,36,96,9733,15371,5.26,71,126,7,high
IG0000115,9,creator,6916,image,Fashion,Explore,0,12-05-2025,7,Monday,92,3,3,23,5488,8527,1.42,151,136,11,low
IG0000116,15,creator,8167,reel,Music,Reels Feed,0,05-02-2025,12,Wednesday,118,5,4,18,3701,5060,2.87,444,112,8,medium
IG0000117,15,creator,8167,image,Photography,External,0,29-07-2025,2,Tuesday,625,20,33,98,8958,12620,6.15,964,124,9,viral
IG0000118,10,creator,4542,carousel,Technology,Reels Feed,0,30-04-2025,1,Wednesday,237,9,9,37,4622,6992,4.18,95,128,7,high
IG0000119,13,creator,5824,image,Technology,External,1,10-03-2025,12,Monday,117,3,7,15,4645,6192,2.29,495,123,10,medium
IG0000120,19,brand,3447,reel,Comedy,Reels Feed,0,20-04-2025,3,Sunday,20,0,1,4,1309,1496,1.67,881,118,6,low
IG0000121,7,creator,3551,image,Photography,Reels Feed,0,24-06-2025,22,Tuesday,558,16,26,92,8359,10904,6.35,88,131,5,viral
IG0000122,17,brand,15923,carousel,Photography,Hashtags,1,22-12-2024,1,Sunday,191,9,10,24,2974,4239,5.52,291,126,10,high
IG0000123,20,creator,31095,carousel,Food,Reels Feed,1,30-10-2025,22,Thursday,127,4,6,25,6432,8126,1.99,196,129,8,low
IG0000124,4,creator,4972,image,Technology,Reels Feed,0,10-10-2025,6,Friday,164,5,8,26,4860,6617,3.07,762,108,6,medium
IG0000125,5,brand,10739,carousel,Fashion,Reels Feed,0,14-06-2025,8,Saturday,89,6,3,8,5619,8609,1.23,313,121,11,low
IG0000126,7,creator,3551,reel,Fitness,Explore,1,24-09-2025,18,Wednesday,129,4,7,16,5575,7061,2.21,817,123,8,low
IG0000127,13,creator,5824,image,Fitness,Explore,0,07-06-2025,8,Saturday,114,3,9,25,1452,2227,6.78,755,112,10,viral
IG0000128,15,creator,8167,reel,Music,Home Feed,0,13-07-2025,22,Sunday,155,4,7,21,2005,2740,6.82,594,119,3,viral
IG0000129,11,creator,9044,image,Technology,Reels Feed,0,13-12-2024,10,Friday,196,11,14,31,2945,3626,6.95,314,93,11,viral
IG0000130,4,creator,4972,image,Technology,Hashtags,0,14-08-2025,12,Thursday,158,4,10,15,5887,7778,2.4,622,110,10,low
IG0000131,13,brand,5824,image,Fitness,Profile,0,24-11-2024,7,Sunday,174,9,7,23,4343,6653,3.2,423,126,6,medium
IG0000132,7,creator,3551,reel,Technology,Home Feed,1,02-10-2025,13,Thursday,854,26,34,115,19172,25478,4.04,308,112,4,high
IG0000133,19,brand,3447,image,Food,External,0,29-09-2025,18,Monday,25,1,0,2,2120,2870,0.98,998,122,8,low
IG0000134,2,creator,22291,carousel,Lifestyle,Explore,0,29-04-2025,4,Tuesday,680,18,18,102,14338,20743,3.94,132,142,7,medium
IG0000135,10,creator,4542,carousel,Travel,Reels Feed,0,04-02-2025,15,Tuesday,164,3,9,23,10093,15222,1.31,934,114,13,low
IG0000136,13,creator,5824,reel,Photography,Explore,1,10-04-2025,6,Thursday,256,6,12,38,5557,6432,4.85,980,115,7,high
IG0000137,6,creator,10034,reel,Comedy,Profile,0,07-12-2024,23,Saturday,77,2,6,15,2312,3303,3.03,473,128,8,medium
IG0000138,12,creator,13798,reel,Music,External,0,11-06-2025,13,Wednesday,321,8,15,60,6987,10929,3.7,372,126,8,medium
IG0000139,12,creator,13798,reel,Lifestyle,Home Feed,0,31-08-2025,21,Sunday,200,6,0,20,2903,4268,5.3,189,120,12,high
IG0000140,20,brand,31095,image,Fitness,Hashtags,0,21-08-2025,21,Thursday,47,4,3,12,1135,1534,4.3,337,133,7,high
IG0000141,11,brand,9044,image,Photography,Hashtags,0,20-01-2025,4,Monday,86,3,6,20,3631,4427,2.6,622,118,6,medium
IG0000142,7,brand,3551,reel,Technology,Hashtags,0,25-04-2025,19,Friday,57,1,5,8,3353,4534,1.57,144,128,7,low
IG0000143,1,creator,9461,reel,Comedy,Hashtags,0,25-05-2025,15,Sunday,181,6,11,27,10017,11580,1.94,738,129,2,low
IG0000144,1,brand,9461,image,Technology,Explore,0,11-01-2025,6,Saturday,385,7,18,58,5300,6949,6.73,331,100,9,viral
IG0000145,20,creator,31095,image,Fashion,External,0,06-12-2024,20,Friday,0,13,19,78,7035,9748,1.13,59,112,8,high
IG0000146,13,brand,5824,carousel,Fashion,External,1,08-11-2025,15,Saturday,325,13,15,43,7373,9306,4.26,851,105,3,high
IG0000147,9,creator,6916,carousel,Comedy,Reels Feed,1,08-08-2025,23,Friday,75,4,2,10,1737,2257,4.03,345,118,6,medium
IG0000148,3,creator,10018,image,Comedy,Profile,0,01-10-2025,11,Wednesday,947,31,47,140,11912,17917,6.5,740,115,3,viral
IG0000149,7,brand,3551,reel,Fitness,Home Feed,0,19-06-2025,15,Thursday,399,8,27,71,12911,17389,2.9,59,125,12,medium
IG0000150,6,creator,10034,image,Comedy,Hashtags,1,18-07-2025,16,Friday,81,3,6,15,4340,4812,2.18,265,104,10,medium
IG0000151,8,brand,15986,image,Food,Explore,0,23-04-2025,7,Wednesday,261,6,11,36,4576,6878,4.57,912,114,13,high
IG0000152,9,creator,6916,carousel,Technology,Profile,0,19-06-2025,11,Thursday,585,14,0,72,8069,10583,6.34,511,131,8,viral
IG0000153,5,creator,10739,reel,Lifestyle,Hashtags,0,04-09-2025,4,Thursday,513,12,35,80,10342,12127,5.28,78,133,11,high
IG0000154,1,brand,9461,carousel,Beauty,Hashtags,0,25-06-2025,3,Wednesday,211,6,12,37,9219,12127,2.19,346,129,8,low
IG0000155,19,creator,3447,image,Comedy,Profile,1,17-12-2024,21,Tuesday,344,11,11,53,4640,6645,6.31,40,99,6,viral
IG0000156,10,brand,4542,carousel,Music,Profile,0,17-05-2025,22,Saturday,194,5,6,37,10208,14693,1.65,908,114,4,low
IG0000157,12,creator,13798,image,Fashion,Explore,0,27-09-2025,18,Saturday,180,6,8,30,2642,4006,5.59,282,103,9,viral
IG0000158,15,creator,8167,image,Food,Profile,0,20-05-2025,11,Tuesday,455,8,21,59,9726,11112,4.89,474,107,5,high
IG0000159,9,creator,6916,carousel,Photography,Reels Feed,1,05-09-2025,3,Friday,166,2,13,26,2886,4383,4.72,142,115,16,high
IG0000160,20,creator,31095,image,Beauty,External,0,20-06-2025,6,Friday,399,9,22,62,11831,13840,3.55,840,116,5,medium
IG0000161,17,brand,15923,carousel,Lifestyle,Explore,0,01-09-2025,6,Monday,152,0,8,22,5182,7417,2.45,59,113,8,medium
IG0000162,17,creator,15923,carousel,Beauty,Reels Feed,0,23-12-2024,18,Monday,217,8,16,33,4505,7146,3.83,459,139,9,medium
IG0000163,20,creator,31095,image,Comedy,Reels Feed,0,28-09-2025,2,Sunday,174,6,7,28,2388,3539,6.08,866,122,7,viral
IG0000164,12,brand,13798,image,Fitness,Explore,0,07-02-2025,23,Friday,539,20,31,92,10645,16257,4.2,646,121,7,medium
IG0000165,7,creator,3551,carousel,Fashion,Explore,0,06-05-2025,23,Tuesday,386,0,14,50,14020,16108,2.79,363,113,7,medium
IG0000166,2,brand,22291,reel,Fashion,Home Feed,0,27-08-2025,18,Wednesday,103,5,4,13,2484,3366,3.71,644,136,6,high
IG0000167,3,brand,10018,carousel,Photography,Reels Feed,1,11-09-2025,22,Thursday,157,4,6,26,2242,3039,6.35,866,119,11,viral
IG0000168,17,creator,15923,reel,Fitness,External,0,02-01-2025,18,Thursday,61,2,2,7,2246,2915,2.47,837,109,2,medium
IG0000169,5,creator,10739,carousel,Technology,Hashtags,0,19-02-2025,12,Wednesday,94,1,3,10,5665,8842,1.22,758,133,6,low
IG0000170,17,creator,15923,carousel,Travel,Hashtags,0,26-12-2024,13,Thursday,95,4,4,12,3484,4386,2.62,919,134,6,medium
IG0000171,17,brand,15923,image,Food,Home Feed,0,05-06-2025,17,Thursday,682,18,43,111,10411,16144,5.29,797,105,7,high
IG0000172,17,creator,15923,reel,Fashion,Hashtags,1,05-06-2025,6,Thursday,46,1,4,0,3752,4379,1.16,15,129,7,low
IG0000173,2,brand,22291,carousel,Music,Explore,0,23-02-2025,12,Sunday,165,4,7,26,4405,6655,3.04,610,144,10,medium
IG0000174,2,creator,22291,carousel,Fashion,Explore,0,14-11-2025,23,Friday,181,5,11,20,5006,7710,2.81,200,108,10,medium
IG0000175,5,brand,10739,image,Beauty,Profile,0,14-02-2025,13,Friday,68,2,4,6,3033,4271,1.87,682,134,12,low
IG0000176,1,brand,9461,image,Fashion,Home Feed,1,27-04-2025,16,Sunday,105,1,5,10,1461,1870,6.47,898,87,10,viral
IG0000177,1,brand,9461,image,Fashion,Profile,0,26-12-2024,14,Thursday,0,2,6,18,2696,3959,0.66,930,117,16,medium
IG0000178,19,creator,3447,reel,Travel,Hashtags,1,31-12-2024,8,Tuesday,121,5,5,16,2652,4126,3.56,332,111,10,medium
IG0000179,2,creator,22291,image,Travel,Reels Feed,0,27-04-2025,1,Sunday,247,9,15,34,3360,4378,6.97,248,105,5,viral
IG0000180,12,creator,13798,image,Lifestyle,Home Feed,1,15-03-2025,2,Saturday,36,1,0,9,2385,3248,1.42,90,120,9,low
IG0000181,6,creator,10034,carousel,Technology,External,0,25-07-2025,7,Friday,852,28,33,137,11702,16150,6.5,671,121,9,viral
IG0000182,4,creator,4972,reel,Music,Home Feed,0,17-05-2025,17,Saturday,335,9,14,49,5256,6853,5.94,921,135,4,viral
IG0000183,11,brand,9044,image,Fashion,Explore,1,17-11-2025,22,Monday,71,1,4,6,4949,5658,1.45,802,127,6,low
IG0000184,17,brand,15923,image,Fashion,Reels Feed,1,01-09-2025,10,Monday,290,5,13,43,4428,5194,6.76,193,104,14,viral
IG0000185,6,creator,10034,image,Food,External,1,01-10-2025,23,Wednesday,111,7,7,22,5594,7565,1.94,750,117,10,low
IG0000186,5,brand,10739,carousel,Travel,Explore,0,27-02-2025,9,Thursday,1244,33,69,168,15848,20073,7.54,345,117,8,viral
IG0000187,20,creator,31095,reel,Music,Hashtags,1,29-11-2024,20,Friday,173,8,7,21,4338,6608,3.16,152,127,10,medium
IG0000188,2,creator,22291,carousel,Photography,Reels Feed,0,06-06-2025,10,Friday,75,4,2,7,3265,4973,1.77,273,131,11,low
IG0000189,6,brand,10034,image,Lifestyle,Explore,0,21-10-2025,2,Tuesday,48,1,3,7,1685,2336,2.53,387,126,9,medium
IG0000190,11,brand,9044,image,Technology,Profile,0,01-11-2025,11,Saturday,1852,61,89,327,41265,49836,4.67,761,129,10,high
IG0000191,16,creator,9696,reel,Fitness,Hashtags,0,01-03-2025,8,Saturday,86,2,3,10,4530,7176,1.41,9,128,5,low
IG0000192,16,brand,9696,reel,Technology,External,1,07-11-2025,11,Friday,68,2,1,9,1055,1321,6.06,712,130,10,viral
IG0000193,1,brand,9461,carousel,Beauty,External,0,27-07-2025,13,Sunday,342,10,22,51,4853,5494,7.74,474,118,6,viral
IG0000194,9,creator,6916,reel,Fashion,Home Feed,0,18-01-2025,12,Saturday,75,1,8,8,1420,1956,4.7,274,128,6,high
IG0000195,6,creator,10034,reel,Lifestyle,Hashtags,0,22-02-2025,7,Saturday,75,2,5,8,1585,1792,5.02,103,125,10,high
IG0000196,16,brand,9696,carousel,Beauty,Profile,1,18-03-2025,2,Tuesday,757,37,43,0,12663,15932,5.25,891,115,4,viral
IG0000197,3,brand,10018,image,Music,External,0,12-03-2025,23,Wednesday,101,5,4,26,2585,4078,3.33,483,118,10,medium
IG0000198,20,creator,31095,image,Fitness,Home Feed,0,11-12-2024,18,Wednesday,77,3,3,16,2472,3646,2.72,296,129,13,medium
IG0000199,4,creator,4972,carousel,Travel,Hashtags,0,25-01-2025,5,Saturday,108,3,5,13,3834,4229,3.05,720,109,9,medium
IG0000200,19,creator,3447,image,Lifestyle,External,0,09-01-2025,15,Thursday,306,8,15,53,3866,4579,8.34,826,110,5,viral
